GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
1251998712.795,49.208,1892.877,1.22e-20,3980.241,6.5,7940.48291,0.0,0.0,1.0,nKj40RyqSy,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/pA8vuLxCH1/nKj40RyqSy.png,11.314
1247618103.582,39.789,1859.56,1.44e-20,3980.241,5.25,7940.48291,0.0,0.0,1.0,05z30jBgtU,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/X4lQNcBzn1/05z30jBgtU.png,5.657
1253963328.4989998,217.741,1846.455,6.13e-21,3743.126,4.0,7466.251953,0.0,0.0,1.0,YvnjJR75bU,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/9ga8ywnwIE/YvnjJR75bU.png,5.657
1246006359.36,269.285,1835.726,7.159999999999999e-21,3879.501,3.75,7736.493651999999,0.0,0.0,1.0,zCrqCRLkAC,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LmMiXv87TC/zCrqCRLkAC.png,5.657
1244039752.262,269.285,1800.2220000000002,5.8999999999999995e-21,3981.425,3.75,7938.115723000001,0.0,0.0,1.0,Anrj3EKkw2,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/F6fQ2qTVbK/Anrj3EKkw2.png,5.657
1239434078.699,38.027,1720.172,1.3999999999999995e-20,3977.241,6.0,7946.48291,0.0,0.0,1.0,NXmCinwJj4,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/5bsZQvw36K/NXmCinwJj4.png,5.657
1240291053.448,262.065,1554.3370000000002,5.16e-21,3879.715,3.5,7736.066895,0.0,0.0,1.0,k3P89ncdM1,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/0aXSMFPKm9/k3P89ncdM1.png,5.657
1238685954.089,262.065,1551.444,5.060000000000001e-21,3979.958,4.289,7941.049805,0.0,0.0,1.0,SdadJMBM4Z,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/yUh3xs3UdH/SdadJMBM4Z.png,5.657
1242262983.512,32.173,1384.4589999999996,1.6200000000000002e-20,3878.874,5.5,7737.748047,0.0,0.0,1.0,ypw6RnwNTl,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/xytWBtGHnZ/ypw6RnwNTl.png,11.314
1242773737.551,32.173,1348.1629999999998,1.5200000000000002e-20,3980.241,6.372000000000001,7940.48291,0.0,0.0,1.0,K1zqRJlYNA,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7Hj9j08Vkk/K1zqRJlYNA.png,22.627
